resource_name,project_id,service,region_or_zone,pmomax_relevance,current_state,estimated_monthly_gross_cost,estimated_monthly_net_cost,recommendation,risk_level,marketplace_sensitive_yes_no,reason,evidence_command
pmo-architect,katalyststreet-public,Cloud Run,us-east1,clear PMOMax,Ready and serving 100% latest revision,0.00,0.00,DO NOT TOUCH,high,yes,Public PMOMax runtime/demo must remain live; MARKETPLACE_TEST_MODE=true needs separate human review,gcloud run services describe pmo-architect --region=us-east1 --project=katalyststreet-public --format=json
us-east1-docker.pkg.dev/katalyststreet-public/apps/pmo-architect:1.4.2,katalyststreet-public,Artifact Registry,us-east1,clear PMOMax,Referenced by Cloud Run service,part of 1.50 projected Artifact Registry,0.03 shared,DO NOT TOUCH,high,yes,Current Cloud Run runtime image,gcloud run services describe pmo-architect --region=us-east1 --project=katalyststreet-public --format=json
us-docker.pkg.dev/katalyststreet-public/pmomax/deployer:1.4.2,katalyststreet-public,Artifact Registry,us,clear PMOMax,Present with release tag,part of 1.50 projected Artifact Registry,0.03 shared,DO NOT TOUCH,high,yes,Marketplace deployer release image,gcloud artifacts docker images list us-docker.pkg.dev/katalyststreet-public/pmomax --project=katalyststreet-public --include-tags --format=json
us-docker.pkg.dev/katalyststreet-public/pmomax/ubbagent:1.4.2,katalyststreet-public,Artifact Registry,us,clear PMOMax,Present with release tag,part of 1.50 projected Artifact Registry,0.03 shared,DO NOT TOUCH,high,yes,Marketplace UBB agent release image,gcloud artifacts docker images list us-docker.pkg.dev/katalyststreet-public/pmomax --project=katalyststreet-public --include-tags --format=json
us-east1-docker.pkg.dev/katalyststreet-public/apps/pmo-architect:1.4.2-marketplace,katalyststreet-public,Artifact Registry,us-east1,clear PMOMax,Present with release/latest tags,part of 1.50 projected Artifact Registry,0.03 shared,DO NOT TOUCH,high,yes,Marketplace runtime image,gcloud artifacts docker images list us-east1-docker.pkg.dev/katalyststreet-public/apps --project=katalyststreet-public --include-tags --format=json
us-east1-docker.pkg.dev/katalyststreet-public/apps/pmo-architect:1.0.2,katalyststreet-public,Artifact Registry,us-east1,clear PMOMax,Present with release tag,part of 1.50 projected Artifact Registry,0.03 shared,DO NOT TOUCH,high,yes,Prior release artifact requested to preserve,gcloud artifacts docker images list us-east1-docker.pkg.dev/katalyststreet-public/apps --project=katalyststreet-public --include-tags --format=json
pmomax-auto,katalyststreet-public,Kubernetes Engine,us-central1,clear PMOMax,RUNNING Autopilot cluster with 3 nodes,102.84,0.83,Delete later only after human and Google/Marketplace approval,medium-high,yes,Likely internal validation/runtime cluster not needed for customer installs but Marketplace validation workflow may depend on it,gcloud container clusters describe pmomax-auto --region=us-central1 --project=katalyststreet-public --format=json
Managed Prometheus on pmomax-auto,katalyststreet-public,Cloud Monitoring,us-central1,clear PMOMax,Enabled,29.26,0.67,Disable later only if cluster retained and observability not needed,medium,yes,Monitoring cost tied to PMOMax GKE cluster; disappears if cluster is deleted,gcloud container clusters describe pmomax-auto --region=us-central1 --project=katalyststreet-public --format=json and billing query
k8s2-fr-l7pwee7v-pmomax-pmo-architect-ingress-9g7kws0u,katalyststreet-public,Compute/Networking,global,clear PMOMax,External forwarding rule IP 34.36.66.154,17.57,0.44,Remove only as part of approved cluster/workload cleanup,medium-high,yes,Created for Kubernetes ingress pmomax/pmo-architect-ingress,gcloud compute forwarding-rules list --project=katalyststreet-public --format=json
k8s1-9e2459bd-pmomax-pmo-architect-svc-80-23160eb3,katalyststreet-public,Compute backend service,global,clear PMOMax,External backend service in use by PMOMax ingress,included in load balancer cost,included in load balancer net,Remove only as part of approved cluster/workload cleanup,medium-high,yes,Backend for Kubernetes service pmomax/pmo-architect-svc,gcloud compute backend-services list --project=katalyststreet-public --format=json
katalyststreet-public:marketplace_report,katalyststreet-public,BigQuery,US,clear PMOMax,LINKED dataset,0.00,0.00,DO NOT TOUCH,high,yes,Marketplace report dataset,bq ls --project_id=katalyststreet-public --format=json
katalyststreet-public:pmomaxbilling,katalyststreet-public,BigQuery,US,clear PMOMax,DEFAULT dataset,0.00,0.00,DO NOT TOUCH,high,yes,Billing export dataset used for audit and PMOMax billing evidence,bq ls --project_id=katalyststreet-public --format=json
pmo-max.endpoints.katalyststreet-public.cloud.goog,katalyststreet-public,Service Management/Endpoint,global,clear PMOMax,Enabled,0.00,0.00,DO NOT TOUCH,high,yes,Marketplace service endpoint referenced by Cloud Run env vars,gcloud services list --project=katalyststreet-public --format='value(config.name)'
artifactregistry.googleapis.com,katalyststreet-public,API,global,clear PMOMax,Enabled,0.00,0.00,DO NOT TOUCH,high,yes,Required for PMOMax image and release artifact hosting,gcloud services list --project=katalyststreet-public --format='value(config.name)'
servicecontrol.googleapis.com,katalyststreet-public,API,global,clear PMOMax,Enabled,0.00,0.00,DO NOT TOUCH,high,yes,Required for Marketplace usage reporting/metering,gcloud services list --project=katalyststreet-public --format='value(config.name)'
cloudcommerceprocurement.googleapis.com,katalyststreet-public,API,global,clear PMOMax,Enabled,0.00,0.00,DO NOT TOUCH,high,yes,Marketplace procurement plumbing,gcloud services list --project=katalyststreet-public --format='value(config.name)'
cloudcommerceproducer.googleapis.com,katalyststreet-public,API,global,clear PMOMax,Enabled,0.00,0.00,DO NOT TOUCH,high,yes,Marketplace producer plumbing,gcloud services list --project=katalyststreet-public --format='value(config.name)'
Fleet memberships,katalyststreet-public,GKE Fleet,global,PMOMax check,None returned,0.00,0.00,No unregister action currently,low,yes,No active Fleet memberships found,gcloud container fleet memberships list --project=katalyststreet-public --format=json
stale cluster-1 GKE billing,katalyststreet-public,Kubernetes Engine,unknown,stale PMOMax-adjacent billing row,No current 7-day run-rate,0.00 current run-rate,0.00 current run-rate,No PMOMax action unless resource reappears,low,no,30-day historical charge but projected 7-day gross is zero,bq query PMOMax billing classification
PMOMax Marketplace SKU,unknown,Marketplace SKU,unknown,PMOMax billing not infra,No current 7-day run-rate,0.00 current run-rate,0.00 current run-rate,Do not treat as infrastructure cleanup,low,yes,30-day row fully credited and zero projected 7-day run-rate,bq query PMOMax billing classification
