resource_name,project,service,region,estimated_monthly_gross,estimated_monthly_net,cost_trend,recommendation,risk_level,marketplace_sensitive_yes_no,already_cleaned_yes_no,evidence
all billing export projects,ALL,Billing,global,$754.76 30d gross / $456.98 projected from last 7d,$-0.08 30d / $-0.33 projected,down materially from stale 30d due to stopped charges,use projected gross for future exposure,Low,no,partial,"Billing export window and 7-day run-rate queries"
optimax Cloud Run,optimax-build1,Cloud Run,us-west1,$100.72 30d / about $102.04 projected for CPU SKU plus min/memory,$2.29 all Cloud Run net,still active and rising,obtain access and owner review before any recommendation,High,unknown,no,"Billing export shows Cloud Run Services CPU/Memory/Min Instance SKUs; gcloud run list denied"
pmomax-auto,katalyststreet-public,Kubernetes Engine,us-central1,$139.62 30d / $108.91 projected,$1.38 30d,active but lower run-rate than prior,keep until Marketplace validation purpose is decided,High,yes,no,"gcloud container clusters list; billing labels for cluster pmomax-auto"
AlloyDB Omni Subscription,__NULL__,AlloyDB,unknown,$39.71 30d / $41.10 projected,$1.00 30d,active and steady,billing/subscription investigation required,High,unknown,no,"Billing export project null; AlloyDB APIs disabled in checked projects"
Prometheus Samples Ingested,katalyststreet-public,Cloud Monitoring,us-central1,$27.66 30d / $28.97 projected,$0.66 30d,active and steady,reduce only after observability review,Medium,yes,no,"Billing label goog-metric-domain=prometheus.googleapis.com; GKE managedPrometheus enabled"
GKE pmo-architect workload,katalyststreet-public,Kubernetes Engine,us-central1,$12.32 30d / $12.60 projected approx,near zero net,active,review duplicate with Cloud Run demo,High,yes,no,"Billing labels namespace pmomax workload pmo-architect"
GKE kube-app-manager,katalyststreet-public,Kubernetes Engine,us-central1,$21.70 30d / $22.29 projected approx,near zero net,active,review as Marketplace validation leftover,High,yes,no,"Billing labels namespace application-system workload kube-app-manager-controller"
GKE cluster-1,katalyststreet-public,Kubernetes Engine,us-central1-a,$33.09 30d / $0 projected,$0.32 30d,stopped or disappeared,stale finding; no current action,Low,unknown,yes,"Billing label cluster-1 has $0 last 7 days; cluster list shows only pmomax-auto"
CRMint App Engine services,katalyststreet-public,App Engine,us-east1,$20.85 30d / $0 projected,$0.43 30d,stopped billing but services remain,zombie service review; no urgent cost action,Medium,no,partial,"App Engine services SERVING; app instances list empty; scheduler paused; billing last 7d zero"
CRMint scheduler,katalyststreet-public,Cloud Scheduler,us-east1,$0,$0,paused,keep paused unless owner confirms removal,Low,no,yes,"gcloud scheduler jobs list shows crmint-cron PAUSED"
terminated Optimax VMs,katalyststreet-public,Compute Engine,us-west1-a,$10.85 30d public balanced PD / $10.98 projected broader PD,$0.26 30d,still recurring disk cost,cleanup only after backup/owner approval,Medium,no,no,"gcloud compute instances/disks list; two terminated VMs with attached disks"
Network Intelligence Center,katalyststreet-public,Networking,us-central1,$9.49 30d / about $8.68 projected,$0,active,low-risk review of old tests and NIC need,Low,no,no,"Billing NIC SKUs; connectivity tests from 2024-09-29"
GKE load balancer,katalyststreet-public,Networking,global/us-central1,$18.15 30d / $18.63 projected,$0.47 30d,active,review only with GKE/Marketplace context,High,yes,no,"forwarding rule and backend services for pmomax/pmo-architect-ingress"
Private Service Connect,katalyststreet-public,Networking,us-central1,$10.57 30d / $7.45 projected,$0,active,review dependency before touching,Medium,yes,no,"Billing SKU Networking Private Service Connect Partner Select End Point"
Cloud NAT router,katalyststreet-public,Networking,us-east1,not separately material,not separately material,exists,review only if default network cleanup planned,Medium,unknown,no,"gcloud compute routers list shows pmomax-auto-router and NAT"
Artifact Registry release repos,katalyststreet-public,Artifact Registry,multiple,$3.64 30d / $1.44 projected,$0.09 30d,low and falling,do not touch release images; optional hygiene only,High,yes,partial,"Artifact repo sizes and image tags listed"
BigQuery billing export,katalyststreet-public,BigQuery,US,$0.04 30d,$0,not material,do not touch,High,yes,no,"bq show 422.8 MB table 50 partitions"
marketplace_report,katalyststreet-public,BigQuery,US,not material,not material,active linked dataset,do not touch,High,yes,no,"bq ls linked dataset tables"
Cloud Storage buckets,katalyststreet-public,Cloud Storage,multiple,$0.16 30d,$0,not material,probably not worth touching for cost,Low,unknown,no,"gcloud storage buckets list; billing export"
Logging buckets,katalyststreet-public,Cloud Logging,global,$0,$0,not material,do not change retention without policy review,Medium,yes,no,"logging buckets _Default 30d and _Required 400d"
Monitoring alert policies,katalyststreet-public,Cloud Monitoring,global,$0,$0,none listed,no action,Low,no,yes,"gcloud monitoring policies list returned []"
Uptime checks,katalyststreet-public,Cloud Monitoring,global,$0,$0,none listed,no action,Low,no,yes,"gcloud monitoring uptime list-configs returned []"
Cloud SQL,katalyststreet-public,Cloud SQL,global,$0,$0,no instances,no action,Low,no,yes,"gcloud sql instances list returned []"
Cloud SQL pid project,pid-architect-ehlu1,Cloud SQL,global,$0,$0,API disabled/no visible instances,no action,Low,no,yes,"gcloud sql instances list reported API disabled"
deltamax compute storage,deltamax-464321,Compute Engine,us-east1/us,$27.86 project gross 30d / active projected storage/core,$0.68 30d,active unrelated cost,send to separate non-PMOMax audit,Medium,no,no,"Billing export project breakdown and SKUs"
pid Cloud Run/Firebase services,pid-architect-ehlu1,Cloud Run,us-central1,$0.03 30d,$0,active resources but negligible cost,classify operational ownership not cost priority,Medium,unknown,no,"gcloud run services list; billing export"
PMOMax token usage,pid-architect-ehlu1,PMOMax,global,$209.36 30d / $0 projected,$0,stale/not currently recurring,no cost action,Low,yes,yes,"Billing last 7d zero"
