resource_name,project_id,service,region_or_zone,current_state,monthly_cost_gross,monthly_cost_net,recommendation,risk_level,evidence,verified_yes_no
pmo-architect,katalyststreet-public,Cloud Run,us-east1,Ready serving,$0.00 direct Cloud Run in project billing slice not material,$0.00,DO NOT TOUCH public demo; review MARKETPLACE_TEST_MODE only,High,"gcloud run services describe; image us-east1-docker.pkg.dev/katalyststreet-public/apps/pmo-architect:1.4.2; 100% traffic",yes
us/pmomax/deployer:1.4.2,katalyststreet-public,Artifact Registry,us,Present tagged release,Included in Artifact Registry $3.64 all-project gross,Near $0 net,DO NOT TOUCH release deployer image,High,"gcloud artifacts docker images list us-docker.pkg.dev/katalyststreet-public/pmomax",yes
us/pmomax/ubbagent:1.4.2,katalyststreet-public,Artifact Registry,us,Present tagged release,Included in Artifact Registry $3.64 all-project gross,Near $0 net,DO NOT TOUCH release ubbagent image,High,"gcloud artifacts docker images list us-docker.pkg.dev/katalyststreet-public/pmomax",yes
us-east1/apps/pmo-architect:1.4.2,katalyststreet-public,Artifact Registry,us-east1,Present and used by Cloud Run,Included in Artifact Registry $3.64 all-project gross,Near $0 net,DO NOT TOUCH current runtime image,High,"Cloud Run describe references tag 1.4.2; image list confirms tag",yes
marketplace_report,katalyststreet-public,BigQuery,US,LINKED dataset,Not material,Not material,DO NOT TOUCH marketplace reporting dataset,High,"bq ls and bq show",yes
pmomaxbilling,katalyststreet-public,BigQuery,US,DEFAULT dataset with billing export,Not material,Not material,DO NOT TOUCH billing export dataset,High,"bq ls and bq show",yes
crmint-controller,katalyststreet-public,App Engine,us-east1,SERVING v1 F2 python39,Part of App Engine $20.85 gross,$0.43 total App Engine net,Approval candidate if CRMint unused,Medium,"gcloud app services list; last deployed 2024-09-29",yes
crmint-jobs,katalyststreet-public,App Engine,us-east1,SERVING v1 F2 python39,Part of App Engine $20.85 gross,$0.43 total App Engine net,Approval candidate if CRMint unused,Medium,"gcloud app services list; last deployed 2024-09-29",yes
default App Engine,katalyststreet-public,App Engine,us-east1,SERVING v1 F1 python39,Part of App Engine $20.85 gross,$0.43 total App Engine net,Human review; not specifically a Claude delete target,Medium,"gcloud app services list",yes
gpu-instance-20240929-optimax,katalyststreet-public,Compute Engine,us-west1-a,TERMINATED since 2024-09-29,Part of us-west1 Balanced PD $10.85 gross,Near $0 net,Approval candidate only after snapshot/owner confirmation,Medium,"gcloud compute instances list; attached 10GB pd-balanced disk; no snapshots listed",yes
instance-20240929-optimax-katalyst-street-public,katalyststreet-public,Compute Engine,us-west1-a,TERMINATED since 2024-09-29,Part of us-west1 Balanced PD $10.85 gross,Near $0 net,Approval candidate only after snapshot/owner confirmation,Medium,"gcloud compute instances list; attached 100GB pd-balanced disk; no snapshots listed",yes
instance-20240929-133724,katalyststreet-public,Compute Disk,us-west1-a,READY attached to terminated VM,Part of us-west1 Balanced PD $10.85 gross,Near $0 net,Do not delete disk alone; handle with VM after backup approval,Medium,"gcloud compute disks list shows users array",yes
instance-20240929-optimax-katalyst-street-public,katalyststreet-public,Compute Disk,us-west1-a,READY attached to terminated VM,Part of us-west1 Balanced PD $10.85 gross,Near $0 net,Do not delete disk alone; handle with VM after backup approval,Medium,"gcloud compute disks list shows users array",yes
AlloyDB Omni Subscription,__NULL__,AlloyDB,unknown,Billing-only null project,$39.71,$1.00,Human billing investigation required; do not delete anything,High,"BigQuery billing export project.id null; no labels/system_labels",yes
Network Intelligence Center,katalyststreet-public,Networking,us-central1,Active billing SKUs and old connectivity tests,$9.49,$0.00,Approval candidate after confirming diagnostics not needed,Low,"Billing query and connectivity-tests list",yes
Prometheus Samples Ingested,katalyststreet-public,Cloud Monitoring,us-central1,Active managed Prometheus ingestion,$27.66,$0.66,Optimization candidate; reduce scrape/cardinality after observability review,Medium,"Billing query labels goog-metric-domain=prometheus.googleapis.com",yes
pmomax-auto,katalyststreet-public,Kubernetes Engine,us-central1,RUNNING Autopilot cluster,$139.62 Kubernetes Engine plus $27.66 Prometheus,$1.38 K8s plus $0.66 Prometheus,Human coordination required before any deletion/migration,High,"gcloud container clusters list; managedPrometheus enabled; currentNodeCount 3",yes
Fleet memberships,katalyststreet-public,GKE Hub,global,None listed,$0.00,$0.00,No action,Low,"gcloud container fleet memberships list returned []",yes
pid legacy Cloud Run services,pid-architect-ehlu1,Cloud Run,us-central1,Ready services including chatagentfn extractpid pdfexport ssrpmomax studio,$0.03 Cloud Run gross in project,$0.00,Human review only; billing impact negligible,Medium,"gcloud run services list and billing project/service breakdown",yes
Artifact Registry old untagged images,katalyststreet-public,Artifact Registry,multiple,Present old/untagged digests,$3.64 all Artifact Registry gross,Near $0 net,Cleanup policy candidate; preserve release/current images,Low,"gcloud artifacts repositories list and docker images list",yes
