ISO/IEC 42001 area,Public-source basis,PMOMax PID support,Evidence generated by PMOMax,Coverage level: Strong / Partial / Not Covered,Notes / limitations
Organizational / AI project scope,"ISO describes ISO/IEC 42001 as an AI management system standard for organizations that provide or use AI-based products or services.","PID captures project title, problem statement, business case, scope inclusions, scope exclusions, assumptions, and constraints.","Structured project scope narrative, inclusions/exclusions, assumptions, constraints, and business context.","Strong","Supports project-level scope documentation; does not define the full organizational AIMS scope by itself."
AI objectives and intended outcomes,"ISO public pages describe AIMS as establishing policies and objectives for responsible AI use and managing AI-related risks and opportunities.","PID captures SMART objectives and KPIs with baselines and targets.","Objective table and KPI table that can be reviewed by governance teams.","Strong","Supports project-level objectives; organization-level AI policy objectives require separate management system documentation."
Roles and responsibilities,"ISO explanation page describes AIMS as helping define responsibilities for AI use.","PID captures sponsor, project manager/owner, stakeholders, and RACI.","Named sponsor, owner, stakeholder list, and role/accountability matrix.","Strong","Role completeness depends on user-entered project data and internal governance review."
Stakeholders and accountable owners,"ISO explanation page emphasizes accountability and transparency.","PID captures stakeholders, sponsor, project manager/owner, RACI, communication audiences, and governance approvals.","Stakeholder register, accountable owner fields, RACI, approval gates, and communication plan.","Strong","Does not verify authority levels or organizational chart alignment."
Risk identification and mitigation planning,"ISO public pages describe managing AI-related risks and opportunities; ISO/IEC 23894 provides AI risk management guidance.","PID captures risks, probability, impact, mitigations, and contingencies.","Risk table and mitigation/contingency table.","Strong","Supports project risk documentation; does not replace a full AI risk management process or risk acceptance workflow."
Impact considerations,"ISO explanation page describes identifying and assessing AI-related risks and addressing ethical, legal, and societal concerns; ISO/IEC 42005 provides AI system impact assessment guidance.","PID captures problem context, business value, stakeholders, compliance/security/privacy notes, constraints, risks, mitigations, and open questions.","Impact-relevant project context, affected stakeholders, compliance notes, constraints, risks, and follow-up actions.","Partial","PMOMax PID supports impact scoping but is not a complete ISO/IEC 42005 impact assessment."
Human oversight and approval gates,"ISO public descriptions emphasize responsible AI governance, accountability, transparency, and lifecycle monitoring.","PID captures governance approvals, signoff requirements, decision logs, owners, and communication cadence.","Approval gate table, issues and decisions log, responsible owners, and communication plan.","Partial","Supports oversight evidence when users enter meaningful gates; does not enforce specific oversight controls."
Decision logging / decision records,"ISO public pages emphasize traceability, transparency, and reliability.","PID captures issues and decisions log with issue, decision, owner, and date.","Decision record table with ownership and date fields.","Strong","Decision quality and completeness remain dependent on project governance discipline."
Compliance, privacy, and security notes,"ISO public descriptions include legal, ethical, societal, transparency, and accountability concerns.","PID captures compliance, security, and privacy requirements and notes.","Compliance/security/privacy table for project-specific requirements and notes.","Partial","Supports notes and review evidence; does not replace legal analysis, privacy impact assessment, security assessment, or regulatory mapping."
Lifecycle planning / milestones / dependencies,"ISO explanation page describes monitoring AI systems throughout the lifecycle.","PID captures timeline overview, milestones, work breakdown tasks, dependencies, resources/tools, and status fields.","Milestone table, work breakdown tasks, dependencies, resource list, and schedule context.","Strong","Supports planning documentation; ongoing lifecycle monitoring records require operational follow-through."
Evidence traceability / audit metadata,"ISO public page lists traceability, transparency, and reliability as benefits; PMOMax codebase supports audit metadata and traces.","PMOMax schema includes optional _auditMeta and _auditTrace with request ID, endpoint, model ID, source, duration, timestamps, populated fields, warnings, and trace steps where configured.","Audit metadata and trace structure attached to AI-assisted outputs when enabled.","Partial","Audit depth depends on configuration; full organizational evidence retention is customer responsibility."
Communications and review cadence,"ISO public descriptions emphasize accountability and management-system governance.","PID captures communication plan with audience, cadence, and channel.","Communication plan table identifying audiences, cadence, and channels.","Strong","Does not prove communications occurred unless linked to operational records."
Performance / KPI tracking,"ISO explanation page references managing data quality and system performance; ISO public page references risks/opportunities and continual improvement.","PID captures KPIs, baselines, targets, objectives, milestones, and status.","KPI table with baselines and targets plus milestone/status context.","Partial","PID supports initial performance intent; live monitoring and post-deployment performance records must be maintained separately."
Change or follow-up actions,"ISO public descriptions reference continual improvement and lifecycle management.","PID captures open questions, next steps, issues/decisions, milestones, and work breakdown tasks.","Open questions/next steps table, decision log, milestones, and task list.","Partial","Does not replace change control, corrective action, or management review records."
Supplier / third-party AI governance,"ISO public pages discuss organizations providing or using AI systems, but supplier controls require organization-specific governance.","PID may identify dependencies, resources/tools, stakeholders, and compliance notes.","Dependencies and resources/tools list may identify external systems or vendors.","Partial","No dedicated supplier-control module was verified in the PMOMax PID schema."
Complete AIMS policies and procedures,"ISO describes ISO/IEC 42001 as a management system standard.","PMOMax can provide supporting project documentation but does not replace an AIMS.","No complete AI policy library or full management-system procedure set is generated by the verified PID schema.","Not Covered","Organizations need separate AI policy, management review, audit, corrective action, competence, and operating-control documentation."
Certification readiness determination,"ISO explanation page states certification is voluntary and performed by independent certification bodies, not ISO.","PMOMax provides structured documentation that may support readiness conversations.","PID outputs and alignment guide may be reviewed by internal governance teams or qualified ISO professionals.","Not Covered","PMOMax does not certify, audit, or guarantee ISO/IEC 42001 compliance."

