"Section","Period","Project","Service","SKU or cost group","Gross USD","Credits USD","Net USD","Classification","Why included / Google support question"
"Account summary","May 2026","katalyststreet-public","PMOMax Marketplace","Billing account 018FC6-CC1985-24653C","","","","Reference","Primary billing account and Marketplace project for support case 71164872."
"April Marketplace costs","2026-04","pid-architect-ehlu1","PMOMax","PMO-Max Pricing By Tokens Tokens Usage","209.36","-209.36","0.00","UBB / token metering test","Appears to be PMOMax Marketplace token-metering or UBB testing activity, not normal external customer production usage. Please confirm whether this was fully credited and how to avoid future validation/test metering charges."
"April Marketplace costs","2026-04","katalyststreet-public","Kubernetes Engine","Autopilot clusters, zonal clusters, pod CPU, memory, and ephemeral storage requests","151.59","-150.36","1.23","Primary Marketplace runtime","Appears to be the main PMOMax Marketplace runtime surface. Please confirm whether the GKE environment must remain running before customers exist, or whether it can be shut down or scaled down temporarily."
"April Marketplace costs","2026-04","katalyststreet-public","Compute Engine","N1 cores/RAM, balanced persistent disk, storage images, and external IP charges","83.40","-82.05","1.35","Runtime or deployment infrastructure","Please review whether these resources are required for PMOMax Marketplace runtime, were part of validation/deployment experimentation, or can be removed."
"April Marketplace costs","2026-04","katalyststreet-public","Networking","Cloud Load Balancer Forwarding Rule, Private Service Connect Partner Select Endpoint, and Network Intelligence Center","40.54","-40.20","0.34","Marketplace networking","Please clarify which networking components are required for a PMOMax Marketplace Kubernetes app and which are optional diagnostics or legacy setup."
"April Marketplace costs","2026-04","katalyststreet-public","Cloud Monitoring","Prometheus Samples Ingested","25.76","-25.25","0.51","Runtime observability","Likely optimization candidate. Please confirm whether managed Prometheus ingestion is required for ongoing Marketplace operations."
"April Marketplace costs","2026-04","katalyststreet-public","Security Command Center","Artifact Registry scanning, Compute Engine, GKE pod CPU, and App Engine SCC Premium rows","21.70","-21.38","0.32","Security and validation","Appears tied to validation, vulnerability remediation, and security overhead. Please confirm required minimum for Marketplace readiness."
"April Marketplace costs","2026-04","katalyststreet-public","Artifact Registry","Image storage and egress","4.32","-4.23","0.09","Image storage and pulls","Marketplace deployer/app image storage and deployment testing. Please advise which images/tags must be retained for listing readiness and rollback."
"April Marketplace costs","2026-04","katalyststreet-public","Cloud Build","Default pool CPU/RAM","0.30","-0.29","0.00","Build and validation","Build and validation workflow support. Please confirm whether validation/build expenses can qualify for credits or adjustment."
"April Marketplace costs","2026-04","katalyststreet-public","On-Demand Scanning","Successful Scans","0.52","-0.52","0.00","Vulnerability validation","Marketplace security validation/remediation evidence. Please confirm if this is required and whether validation-only scanning can be credited."
"April Marketplace costs","2026-04","katalyststreet-public","Secret Manager","Secret version replica storage","0.01","-0.01","0.00","Runtime configuration","Low-cost PMOMax runtime configuration. Included for completeness."
"April Marketplace costs","2026-04","katalyststreet-public","Cloud Run","Request-based CPU and related runtime rows","0.01","-0.01","0.00","Hosted demo/runtime endpoint","Active PMOMax Cloud Run endpoint, but not a material cost driver. Included for completeness."
"April subtotal","2026-04","Multiple","Multiple","Subtotal of rows above","537.51","-533.36","4.15","Marketplace-related gross usage","Approximate April PMOMax Marketplace-related subtotal from refreshed billing export and classification."
"AI media/testing costs","2026-02","katalyststreet-public","Vertex AI","Veo 3 Audio Video Generation","444.80","","444.80","AI media/demo generation","Observed in Jan-Apr review. Appears tied to PMOMax promotional/demo media generation and AI workflow testing, not ongoing Marketplace runtime."
"AI media/testing costs","2026-02","katalyststreet-public","Vertex AI","Veo 3 Video Generation","68.80","","68.80","AI media/demo generation","Observed in Jan-Apr review. Please review for possible one-time billing adjustment because actual spend exceeded original Gemini-style experimentation assumptions."
"AI media/testing costs","2026-01 to 2026-02","katalyststreet-public","Gemini API","AI testing/experimentation","6.34","","6.34","AI testing","Small Gemini API testing/experimentation amount from Jan-Feb review. Exact production attribution should be confirmed."
"AI media/testing costs","2026-01","katalyststreet-public","Vertex AI","Metadata storage","0.01","","0.01","AI metadata","Minimal AI metadata charge from Jan-Apr review."
"AI subtotal","2026-01 to 2026-02","katalyststreet-public","Vertex AI / Gemini API","AI media and testing subtotal","519.95","","519.95","AI media/testing gross usage","Includes approximately 513.60 specifically for Veo 3 video/audio-video generation."
"GKE shutdown question","Current / pre-customer","katalyststreet-public","Kubernetes Engine","PMOMax Marketplace runtime","","","","Cost reduction request","Please confirm whether PMOMax can temporarily shut down or scale down the GKE runtime while pre-customer without affecting Marketplace listing status, UBB/metering compliance, validation status, entitlements, or future customer deployments."
"GKE shutdown question","Current / pre-customer","katalyststreet-public","Cloud Monitoring","Managed Prometheus","","","","Cost reduction request","Please confirm whether managed Prometheus ingestion can be disabled or reduced while preserving Marketplace readiness."
"GKE shutdown question","Current / pre-customer","katalyststreet-public","Networking","Load balancer, Private Service Connect, Network Intelligence Center","","","","Cost reduction request","Please confirm which networking components are mandatory and which can be removed until customer demand exists."
"GKE shutdown question","Current / pre-customer","katalyststreet-public","Artifact Registry / validation artifacts","Deployer images, app images, scans, jobs, validation-only artifacts","","","","Cost reduction request","Please confirm the minimum images, tags, metadata, and validation artifacts that must be retained for Marketplace listing readiness."
