resource_name,project_id,project_number,service,region_or_zone,current_state,estimated_monthly_cost_gross,recommendation,risk_level,reason,evidence_command
pmo-architect (Cloud Run),katalyststreet-public,839982691485,Cloud Run,us-east1,RUNNING (scales to zero),$0,DO NOT TOUCH,CRITICAL,Public demo runtime + Marketplace showcase; scales to zero so no compute cost,gcloud run services list --platform=managed --project=katalyststreet-public --format=json
pmomax-auto (GKE Autopilot),katalyststreet-public,839982691485,Kubernetes Engine,us-central1,RUNNING,$54/month gross,DO NOT TOUCH (keep per Google guidance),HIGH,Required for Marketplace k8s app validation; can be deleted later after validation window confirmed,gcloud container clusters list --project=katalyststreet-public --format=json
Artifact Registry us/pmomax (deployer+ubbagent),katalyststreet-public,839982691485,Artifact Registry,us (multi-region),ACTIVE - 370 MB,$0.12/month gross,DO NOT TOUCH,CRITICAL,Contains Marketplace deployer:1.4.2 and ubbagent:1.4.2 — required for Marketplace compliance,gcloud artifacts repositories list --project=katalyststreet-public --format=json
Artifact Registry us-east1/apps (runtime images),katalyststreet-public,839982691485,Artifact Registry,us-east1,ACTIVE - 1.49 GB,$0.50/month gross,DO NOT TOUCH,CRITICAL,Contains pmo-architect:1.4.2 — runtime image for Cloud Run demo,gcloud artifacts repositories list --project=katalyststreet-public --format=json
Artifact Registry us/apps (multi-region runtime),katalyststreet-public,839982691485,Artifact Registry,us (multi-region),ACTIVE - 788 MB,$0.26/month gross,DO NOT TOUCH,HIGH,PMOMax multi-region app images; secondary copy,gcloud artifacts repositories list --project=katalyststreet-public --format=json
Artifact Registry us-east1/pmomax (deployer regional),katalyststreet-public,839982691485,Artifact Registry,us-east1,ACTIVE - 1.27 GB,$0.43/month gross,REVIEW — cleanup old tags keep 1.4.x,LOW,Regional deployer images; keep release tags delete intermediate builds,gcloud artifacts repositories list --project=katalyststreet-public --format=json
Artifact Registry us/gcr.io (GCR mirror),katalyststreet-public,839982691485,Artifact Registry,us (multi-region),ACTIVE - 111 MB,$0.04/month gross,REVIEW — may be deletable,LOW,GCR migration mirror; confirm if still needed,gcloud artifacts repositories list --project=katalyststreet-public --format=json
Artifact Registry us-central1/apps (empty),katalyststreet-public,839982691485,Artifact Registry,us-central1,EMPTY - 0 bytes,$0,DELETE LATER,LOW,Empty repository — no images; pure cleanup,gcloud artifacts repositories list --project=katalyststreet-public --format=json
API cloudcommerceprocurement.googleapis.com,katalyststreet-public,839982691485,Cloud Marketplace API,global,ENABLED,$0,DO NOT TOUCH,CRITICAL,Required for Marketplace procurement flow,gcloud services list --enabled --project=katalyststreet-public
API cloudcommerceproducer.googleapis.com,katalyststreet-public,839982691485,Cloud Marketplace API,global,ENABLED,$0,DO NOT TOUCH,CRITICAL,Required for Marketplace producer operations,gcloud services list --enabled --project=katalyststreet-public
API cloudcommerceconsumerprocurement.googleapis.com,katalyststreet-public,839982691485,Cloud Marketplace API,global,ENABLED,$0,DO NOT TOUCH,CRITICAL,Required for customer procurement,gcloud services list --enabled --project=katalyststreet-public
API servicecontrol.googleapis.com,katalyststreet-public,839982691485,Service Control API,global,ENABLED,$0,DO NOT TOUCH,CRITICAL,Required for UBB metering,gcloud services list --enabled --project=katalyststreet-public
API pmo-max.endpoints.katalyststreet-public.cloud.goog,katalyststreet-public,839982691485,Endpoints,global,ENABLED,$0,DO NOT TOUCH,CRITICAL,PMOMax Marketplace service endpoint for UBB,gcloud services list --enabled --project=katalyststreet-public
API artifactregistry.googleapis.com,katalyststreet-public,839982691485,Artifact Registry API,global,ENABLED,$0,DO NOT TOUCH,CRITICAL,Required for Marketplace deployer image access,gcloud services list --enabled --project=katalyststreet-public
API run.googleapis.com,katalyststreet-public,839982691485,Cloud Run API,global,ENABLED,$0,DO NOT TOUCH,CRITICAL,Required for Cloud Run demo runtime,gcloud services list --enabled --project=katalyststreet-public
App Engine crmint-controller,katalyststreet-public,839982691485,App Engine,us-east1,RUNNING,$4/month gross (portion of $13 total),DELETE LATER,LOW,CRMint not needed for PMOMax; scheduler already paused,gcloud app services list --project=katalyststreet-public
App Engine crmint-jobs,katalyststreet-public,839982691485,App Engine,us-east1,RUNNING,$4/month gross (portion of $13 total),DELETE LATER,LOW,CRMint not needed for PMOMax,gcloud app services list --project=katalyststreet-public
App Engine default,katalyststreet-public,839982691485,App Engine,us-east1,RUNNING,$5/month gross (portion of $13 total),REVIEW,MEDIUM,Default App Engine service; confirm if needed before deleting,gcloud app services list --project=katalyststreet-public
Cloud Scheduler crmint-cron,katalyststreet-public,839982691485,Cloud Scheduler,us-east1,PAUSED,$0,DELETE LATER,LOW,Already paused; CRMint cron job not needed for PMOMax,gcloud scheduler jobs list --project=katalyststreet-public --location=us-east1
Compute disk instance-20240929-optimax-katalyst-street-public,katalyststreet-public,839982691485,Compute Engine,us-west1-a,ATTACHED to TERMINATED VM,$10/month gross,DELETE LATER (snapshot first),LOW,VM TERMINATED since Sept 2024 (20+ months idle); disk still billing,gcloud compute disks list --project=katalyststreet-public --format=json
Compute disk instance-20240929-133724,katalyststreet-public,839982691485,Compute Engine,us-west1-a,ATTACHED to TERMINATED VM,$1/month gross,DELETE LATER (snapshot first),LOW,VM TERMINATED since Sept 2024; 10GB disk still billing,gcloud compute disks list --project=katalyststreet-public --format=json
VM gpu-instance-20240929-optimax,katalyststreet-public,839982691485,Compute Engine,us-west1-a,TERMINATED,$0 (VM stopped; disk separate),REVIEW,LOW,TERMINATED VM from Sept 2024; only disk costs remain,gcloud compute instances list --project=katalyststreet-public --format=json
VM instance-20240929-optimax-katalyst-street-public,katalyststreet-public,839982691485,Compute Engine,us-west1-a,TERMINATED,$0 (VM stopped; disk separate),REVIEW,LOW,TERMINATED VM from Sept 2024; only disk costs remain,gcloud compute instances list --project=katalyststreet-public --format=json
Cloud Monitoring (Prometheus),katalyststreet-public,839982691485,Cloud Monitoring,global,ACTIVE - HIGH ingestion,$14.50/month gross,OPTIMIZE LATER — reduce scrape rate,MEDIUM,Prometheus samples ~$43/90 days; likely tied to pmomax-auto cluster; optimize scrape config,bq query billing export SELECT service sku
Network Intelligence Center,katalyststreet-public,839982691485,Networking,global,ACTIVE,$11.50/month gross,DISABLE LATER if not actively used,LOW,Topology + Analyzer + Internet Performance = ~$17/90 days; fully credited now but costly without credits,bq query billing export SELECT sku
App Engine Load Balancer Forwarding Rule,katalyststreet-public,839982691485,Networking,global,ACTIVE,$10/month gross,REVIEW — linked to App Engine,LOW,Load balancer forwarding rule billed even if App Engine is idle; will go away when CRMint deleted,bq query billing export SELECT sku
Private Service Connect Partner,katalyststreet-public,839982691485,Networking,global,ACTIVE,$6/month gross,HUMAN REVIEW,MEDIUM,PSC Partner endpoint charge; confirm what it connects to before removing,bq query billing export SELECT sku
BigQuery marketplace_report,katalyststreet-public,839982691485,BigQuery,US,LINKED dataset,$0,DO NOT TOUCH,HIGH,Marketplace usage report data,bq ls --project_id=katalyststreet-public
