secret_name,source_location,used_by,recoverable_yes_no,marketplace_sensitive_yes_no,exists_locally_yes_no,exists_in_secret_manager_yes_no,exists_in_kubernetes_yes_no,criticality,notes
pmo-architect-reporting-secret,kubernetes:pmomax/pmo-architect-reporting-secret,GKE pmo-architect UBB sidecar,no,yes,no,no,yes,high,Secret values not exported; used by AGENT_ENCODED_KEY and AGENT_CONSUMER_ID
reporting-key,kubernetes secret key:pmo-architect-reporting-secret,GKE UBB AGENT_ENCODED_KEY,no,yes,unconfirmed,no,yes,high,Possible local service-account-key file exists but equivalence was not confirmed
consumer-id,kubernetes secret key:pmo-architect-reporting-secret,GKE UBB AGENT_CONSUMER_ID,no,yes,unconfirmed,no,yes,high,Needed for Service Control consumer reporting in validation cluster
pmomax-license-998217,kubernetes:pmomax/pmomax-license-998217,PMOMax validation/customer-style install,no,yes,no,no,yes,high,Kubernetes-only by current evidence
pmomax-license-998217,kubernetes:default/pmomax-license-998217,PMOMax validation/customer-style install,no,yes,no,no,yes,high,Kubernetes-only duplicate in default namespace by current evidence
GOOGLE_API_KEY,.env and Secret Manager metadata,Local app/Gemini paths,yes,no,yes,yes,no,medium,Secret Manager names found: my-google-api-key in katalyststreet-public and GOOGLE_API_KEY in pid-architect-ehlu1
my-google-api-key,Secret Manager:katalyststreet-public,Google API key storage,yes,no,unknown,yes,no,medium,Version metadata exists and enabled; value not accessed
OPENAI_API_KEY,current shell environment,Server/runtime AI paths,partial,no,yes,no,no,medium,Current shell has it populated; no durable local file or Secret Manager copy confirmed
MARKETPLACE_ACCESS_TOKEN,.env,Local Marketplace/test config,yes,yes,yes,no,no,medium-high,Present locally; no Secret Manager copy found
MARKETPLACE_CONSUMER_ID,.env and Cloud Run env name,Cloud Run/local Marketplace config,yes,yes,yes,no,no,high,Cloud Run has env var name; local .env populated
MARKETPLACE_SERVICE_NAME,.env Cloud Run manifests,Cloud Run/GKE/deployer config,yes,yes,yes,no,no,high,Recoverable from service metadata and manifests
MARKETPLACE_REPORT_ENDPOINT,Cloud Run env name,Cloud Run metering config,yes,yes,no,no,no,high,Recoverable from Cloud Run metadata; no Secret Manager dependency
MARKETPLACE_USAGE_DEFAULT_METRIC,Cloud Run env name,Cloud Run metering config,yes,yes,no,no,no,high,Recoverable from Cloud Run metadata
pmo-architect-ubbagent-config,kubernetes ConfigMap export,GKE UBB sidecar config,yes,yes,no,no,no,high,ConfigMap exported; references secret values that still need backup
reporting-secret,deploy/values and deploy params,Marketplace deployer default reference,partial,yes,yes,no,no,medium,Name/reference exists locally; not the same confirmed active Kubernetes secret name
REPORTS/service-account-key.yaml,local file,Possible reporting credential source,unconfirmed,yes,yes,no,no,high,File exists and appears sensitive by filename/size; contents not printed or validated
VERTEX_LOCATION,Secret Manager:pid-architect-ehlu1,Firebase/Vertex config,yes,no,no,yes,no,low,PMOMax relevance indirect only
VERTEX_MODEL,Secret Manager:pid-architect-ehlu1,Firebase/Vertex config,yes,no,no,yes,no,low,PMOMax relevance indirect only
