index,start,end,narrator,image,text
1,0.0,6.0,A,00_landing_overview.png,"Project initiation usually starts fragmented. PMOMax brings it into one structured workspace."
2,6.0,12.0,B,02_project_controls.png,"Teams can paste, upload, load a complete demo, or begin from a guided blank start."
3,12.0,18.0,A,04_pid_sections_filled.png,"From raw project material, PMOMax produces a complete, editable PID."
4,18.0,24.0,C,05_project_info_overview.png,"Project information and context are normalized immediately for decision-ready review."
5,24.0,30.0,A,06_objectives_kpis.png,"Objectives and KPIs stay measurable, visible, and consistent."
6,30.0,36.0,B,07_scope_constraints.png,"Scope, deliverables, constraints, and dependencies remain explicit from the start."
7,36.0,42.0,A,01_workspace_full_demo.png,"The entire initiation package stays aligned in one shared system."
8,42.0,48.0,C,08_gantt_overview.png,"Planning becomes executable when schedules turn into a live Gantt."
9,48.0,54.0,A,08_gantt_overview.png,"Milestones, sequencing, and delivery timing become visible at a glance."
10,54.0,60.0,B,08_gantt_overview.png,"Execution detail stays connected to the initiation document that produced it."
11,60.0,66.0,A,09_people_resources_budget.png,"People, resources, and budget are tied directly to the plan."
12,66.0,72.0,C,09_people_resources_budget.png,"That gives delivery teams context for staffing, tooling, and cost tradeoffs."
13,72.0,78.0,A,10_risks_issues_communications.png,"Risks, issues, and communications are surfaced before execution begins."
14,78.0,84.0,B,10_risks_issues_communications.png,"Instead of scattered notes, teams review probability, impact, mitigation, and decisions together."
15,84.0,90.0,A,11_governance_compliance.png,"Governance and compliance stay visible, actionable, and audit-friendly."
16,90.0,96.0,C,11_governance_compliance.png,"Approvals, security, privacy, and readiness checks are built into the workflow."
17,96.0,102.0,A,13_ai_assistant_default.png,"The AI assistant works alongside the live PID, not outside it."
18,102.0,108.0,B,14_ai_assistant_chat.png,"Ask for summaries, rewrites, delivery risks, or compliance gaps in project context."
19,108.0,114.0,A,14_ai_assistant_chat.png,"The conversation stays connected to the same structured plan your team is executing."
20,114.0,120.0,C,12_general_notes.png,"General Notes preserve the reasoning, assumptions, and working decisions behind the plan."
21,120.0,126.0,A,01_workspace_full_demo.png,"Navigation keeps large project documents instantly explorable."
22,126.0,132.0,B,15_help_modal_open.png,"Built-in help gives teams fast, section-aware guidance when they need it."
23,132.0,138.0,A,16_user_guide_open.png,"And the user guide supports onboarding without forcing people out of the workflow."
24,138.0,144.0,C,17_create_mode.png,"When teams want to start from zero, Create mode opens a guided entry point."
25,144.0,150.0,A,01_workspace_full_demo.png,"When they need to prove value fast, Load Demo shows the end-to-end system immediately."
26,150.0,156.0,B,03_export_panel.png,"Outputs are ready to move across stakeholders, reviews, and audits."
27,156.0,162.0,A,03_export_panel.png,"PMOMax supports Word, PDF, JSON, and packaged deliverables from the same workspace."
28,162.0,168.0,C,04_pid_sections_filled.png,"What changes here is the handoff between planning and execution."
29,168.0,174.0,A,01_workspace_full_demo.png,"PMOMax turns project initiation into a governed, AI-assisted operating system."
30,174.0,180.0,B,01_workspace_full_demo.png,"PMOMax. Structure the PID, align the team, and launch with confidence."
